owner,name,language,stargazers_count,commit_count,branch_count,release_count,open_issues_count,contributor_count,forks_count,license,created_at,pushed_at,updated_at
ccampbell,mousetrap,JavaScript,7307,355,4,19,154,23,658,Apache License 2.0,2012-07-05T03:13:55Z,2016-09-29T01:39:48Z,2016-11-03T14:00:36Z
slimphp,Slim,PHP,7306,2,2,157,63,74,1431,MIT License,2010-09-21T01:17:06Z,2016-11-03T19:33:13Z,2016-11-03T16:13:56Z
Mashape,kong,Lua,7299,2,24,50,296,28,711,Apache License 2.0,2014-11-17T23:56:08Z,2016-11-03T16:26:03Z,2016-11-03T18:00:20Z
Grouper,FlatUIKit,Objective-C,7297,282,5,53,35,9,998,MIT License,2013-05-08T21:56:44Z,2016-09-29T04:08:55Z,2016-11-03T12:34:23Z
sorrycc,awesome-javascript,,7297,492,3,142,64,0,1082,None,2014-07-01T15:59:02Z,2016-11-03T09:55:42Z,2016-11-03T13:00:08Z
afaqurk,linux-dash,JavaScript,7292,700,2,77,6,4,892,MIT License,2013-10-16T14:58:47Z,2016-11-01T19:19:06Z,2016-11-03T18:16:51Z
sqlmapproject,sqlmap,Python,7277,7,2,46,61,20,1676,None,2012-06-26T09:52:15Z,2016-11-02T11:08:24Z,2016-11-03T19:20:40Z
mzabriskie,axios,JavaScript,7271,575,6,65,49,30,376,MIT License,2014-08-18T22:30:27Z,2016-11-03T19:05:43Z,2016-11-03T20:09:07Z
amix,vimrc,VimL,7266,236,1,27,9,0,2502,MIT License,2012-05-29T16:19:29Z,2016-11-03T15:11:20Z,2016-11-03T18:38:07Z
javve,list.js,JavaScript,7266,542,11,16,61,13,671,MIT License,2011-01-30T12:29:56Z,2016-10-28T15:59:35Z,2016-11-03T19:53:13Z
facebook,Shimmer,Objective-C,7254,72,1,17,5,3,893,"BSD 3-clause ""New"" or ""Revised"" License",2014-02-18T22:15:19Z,2016-10-30T05:02:28Z,2016-11-03T13:20:11Z
ruanyf,react-demos,JavaScript,7254,61,3,8,0,0,3379,None,2015-03-23T10:50:07Z,2016-07-22T14:50:33Z,2016-11-03T18:00:12Z
basecamp,trix,CoffeeScript,7251,2,10,13,38,15,295,MIT License,2013-08-01T22:21:30Z,2016-10-12T14:09:12Z,2016-11-03T15:49:10Z
pouchdb,pouchdb,JavaScript,7205,3,796,229,105,53,783,Apache License 2.0,2010-06-10T18:34:24Z,2016-11-03T20:01:25Z,2016-11-03T17:25:13Z
rollup,rollup,JavaScript,7191,1,18,55,182,132,245,MIT License,2015-05-14T22:26:28Z,2016-10-28T14:23:54Z,2016-11-03T16:50:25Z
songrotek,Deep-Learning-Papers-Reading-Roadmap,Python,7187,68,1,8,10,0,796,None,2016-10-14T11:49:48Z,2016-10-31T05:23:05Z,2016-11-03T20:09:53Z
vapor,vapor,Swift,7171,2,8,57,39,79,386,MIT License,2016-01-18T22:37:52Z,2016-11-03T19:30:18Z,2016-11-03T17:11:32Z
sindresorhus,quick-look-plugins,,7163,35,1,13,6,0,247,None,2013-12-07T15:43:33Z,2016-10-04T13:05:42Z,2016-11-03T15:29:35Z
rstacruz,jquery.transit,JavaScript,7157,228,4,23,140,7,924,None,2011-11-12T15:56:45Z,2016-07-20T11:50:26Z,2016-11-03T02:43:31Z
ViccAlexander,Chameleon,Objective-C,7151,338,6,24,6,18,651,Other,2014-07-26T09:01:09Z,2016-11-02T21:37:59Z,2016-11-03T14:48:04Z
