owner,name,language,stargazers_count,commit_count,branch_count,release_count,open_issues_count,contributor_count,forks_count,license,created_at,pushed_at,updated_at
purifycss,purifycss,JavaScript,6575,255,1,14,25,7,242,MIT License,2015-05-26T02:42:17Z,2016-10-19T12:10:22Z,2016-11-03T17:16:12Z
eczarny,spectacle,Objective-C,6574,648,2,20,36,44,371,MIT License,2010-07-11T01:58:03Z,2016-10-28T00:10:39Z,2016-11-03T17:00:32Z
flightjs,flight,JavaScript,6564,497,11,53,9,22,583,MIT License,2013-01-30T19:59:30Z,2016-04-02T22:46:31Z,2016-11-03T10:20:21Z
powerline,powerline,Python,6558,2,3,82,85,15,569,MIT License,2012-06-12T12:48:40Z,2016-11-01T20:42:13Z,2016-11-03T07:38:17Z
datasciencemasters,go,,6557,279,2,33,40,0,3251,The Unlicense,2013-08-14T08:33:55Z,2016-10-14T14:46:45Z,2016-11-03T20:16:46Z
matthieua,WOW,JavaScript,6553,316,8,22,108,29,1562,None,2013-12-29T07:53:44Z,2016-10-13T18:59:19Z,2016-11-03T16:59:58Z
ant-design,ant-design,CSS,6524,6,10,125,71,81,1286,MIT License,2015-04-24T15:37:24Z,2016-11-03T11:32:17Z,2016-11-03T14:49:10Z
cjbarber,ToolsOfTheTrade,,6522,452,1,149,23,0,663,None,2014-05-29T04:11:33Z,2016-10-28T19:17:53Z,2016-11-03T05:46:28Z
NodeBB,NodeBB,JavaScript,6520,13,25,137,97,85,1395,GNU General Public License v3.0,2013-04-22T16:49:40Z,2016-11-03T17:22:59Z,2016-11-03T00:17:14Z
mozilla-mobile,firefox-ios,Swift,6518,5,219,75,50,68,1331,Other,2014-11-03T19:07:02Z,2016-11-03T20:07:30Z,2016-11-03T14:55:12Z
reactnativecn,react-native-guide,,6514,135,2,27,3,0,1751,None,2015-04-10T03:34:17Z,2016-10-29T17:40:15Z,2016-11-03T10:52:56Z
donnemartin,data-science-ipython-notebooks,Python,6506,521,2,8,4,0,1497,Other,2015-01-23T19:38:29Z,2016-09-30T09:53:51Z,2016-11-03T18:29:17Z
googlesamples,android-UniversalMusicPlayer,Java,6502,153,1,11,23,3,2089,Apache License 2.0,2015-03-10T00:04:35Z,2016-10-26T03:35:14Z,2016-11-03T16:01:14Z
Aufree,trip-to-iOS,Objective-C,6502,92,1,17,0,0,2126,None,2015-01-02T08:18:53Z,2016-08-22T13:34:55Z,2016-11-03T15:08:15Z
davezuko,react-redux-starter-kit,JavaScript,6495,960,1,95,60,34,1406,MIT License,2015-06-24T18:38:28Z,2016-11-03T18:26:08Z,2016-11-03T19:18:05Z
powerline,fonts,Shell,6493,100,1,33,113,1,1056,None,2012-12-19T13:31:50Z,2016-10-12T15:40:58Z,2016-11-03T19:42:45Z
chriso,validator.js,JavaScript,6493,1,1,121,13,104,595,MIT License,2010-10-06T06:58:48Z,2016-10-25T03:58:28Z,2016-11-03T17:36:30Z
ubuwaits,beautiful-web-type,CSS,6493,67,1,4,5,0,322,MIT License,2012-01-12T05:23:14Z,2016-11-02T09:07:24Z,2016-11-03T16:05:54Z
mozilla,BrowserQuest,JavaScript,6487,153,4,4,3,0,2066,Other,2011-09-30T18:47:48Z,2016-04-08T11:45:48Z,2016-11-03T10:49:30Z
CEWendel,SWTableViewCell,Objective-C,6484,316,1,40,170,31,1231,MIT License,2013-09-10T05:45:34Z,2016-09-28T10:30:05Z,2016-11-03T18:12:50Z
clojure,clojurescript,Clojure,6475,4,9,5855,1,162,580,None,2011-07-20T23:29:13Z,2016-10-30T15:10:59Z,2016-11-03T18:16:40Z
fffaraz,awesome-cpp,,6473,645,2,85,53,0,1362,Other,2014-07-17T08:51:11Z,2016-10-28T15:52:45Z,2016-11-03T17:45:32Z
douglascrockford,JSON-js,JavaScript,6473,32,1,1,6,0,3748,None,2010-11-18T17:39:50Z,2016-10-28T13:05:29Z,2016-11-03T06:31:04Z
dotnet,roslyn,C#,6469,20,70,180,3355,49,1546,Apache License 2.0,2015-01-11T02:39:03Z,2016-11-03T20:18:58Z,2016-11-03T11:54:23Z
fxsjy,jieba,Python,6462,485,2,31,222,23,2025,MIT License,2012-09-29T07:52:01Z,2016-10-04T07:16:42Z,2016-11-03T14:03:34Z
markets,awesome-ruby,,6457,1,2,184,71,0,894,None,2014-07-03T12:31:18Z,2016-10-28T17:15:09Z,2016-11-03T17:42:57Z
hpneo,gmaps,JavaScript,6454,365,8,49,125,32,1134,None,2011-10-08T03:55:37Z,2016-08-13T16:49:48Z,2016-11-03T19:31:54Z
crystal-lang,crystal,Crystal,6446,8,25,188,342,72,533,Other,2012-11-27T17:32:32Z,2016-11-03T17:19:21Z,2016-11-03T18:42:22Z
liaohuqiu,android-Ultra-Pull-To-Refresh,Java,6418,182,4,16,109,8,2249,MIT License,2014-11-13T03:13:10Z,2016-08-23T03:59:14Z,2016-11-03T15:42:08Z
swagger-api,swagger-ui,JavaScript,6414,1,3,163,463,64,3489,Other,2011-07-15T22:56:39Z,2016-11-03T15:23:11Z,2016-11-03T17:06:05Z
bendc,frontend-guidelines,,6410,15,1,0,4,0,521,None,2015-02-21T12:46:17Z,2016-07-17T18:44:48Z,2016-11-03T02:22:08Z
serbanghita,Mobile-Detect,PHP,6409,640,6,57,168,53,1745,Other,2012-08-31T10:58:16Z,2016-10-31T20:54:04Z,2016-11-03T15:30:51Z
FineUploader,fine-uploader,JavaScript,6400,3,5,71,109,83,1493,MIT License,2010-06-19T07:36:13Z,2016-11-02T03:40:36Z,2016-11-03T15:29:22Z
so-fancy,diff-so-fancy,Perl,6398,298,3,33,17,27,123,MIT License,2016-02-04T11:32:08Z,2016-09-20T11:42:17Z,2016-11-03T19:38:13Z
relax,relax,JavaScript,6386,1,2,15,40,1,412,GNU General Public License v3.0,2015-08-31T12:16:25Z,2016-11-03T14:59:23Z,2016-11-03T13:26:58Z
realm,realm-java,Java,6382,6,127,58,329,105,967,Other,2012-04-20T09:18:42Z,2016-11-03T16:45:10Z,2016-11-03T16:22:38Z
coreos,rkt,Go,6370,4,4,169,402,52,622,Apache License 2.0,2014-11-11T23:13:18Z,2016-11-03T09:15:44Z,2016-11-03T17:37:32Z
boot2docker,boot2docker,Shell,6369,980,1,126,384,105,779,Apache License 2.0,2013-12-04T17:26:57Z,2016-10-27T17:35:33Z,2016-11-03T17:35:53Z
facebook,rocksdb,C++,6364,5,58,237,284,91,1320,"BSD 3-clause ""New"" or ""Revised"" License",2012-11-30T06:16:18Z,2016-11-03T18:09:19Z,2016-11-03T17:07:48Z
junegunn,fzf,Go,6359,1,2,50,52,61,275,MIT License,2013-10-23T16:04:23Z,2016-10-31T15:39:13Z,2016-11-03T17:53:16Z
Ramotion,animated-tab-bar,Swift,6354,237,2,26,29,37,873,MIT License,2014-11-11T11:20:04Z,2016-11-02T09:52:56Z,2016-11-03T19:08:42Z
winstonjs,winston,JavaScript,6337,879,5,181,202,60,686,MIT License,2010-12-29T18:49:51Z,2016-11-03T11:13:18Z,2016-11-03T16:13:52Z
plataformatec,simple_form,Ruby,6329,1,20,186,73,45,1029,MIT License,2009-12-28T14:23:48Z,2016-10-12T16:05:01Z,2016-11-03T05:46:28Z
buger,gor,Go,6326,798,67,49,24,31,551,Other,2013-05-30T09:29:07Z,2016-11-02T14:51:00Z,2016-11-03T11:35:19Z
mozilla,metrics-graphics,JavaScript,6294,1,1,37,100,24,370,Mozilla Public License 2.0,2014-05-01T18:25:52Z,2016-10-10T08:42:16Z,2016-11-03T16:15:51Z
sitaramc,gitolite,Perl,6289,558,5,37,9,66,781,GNU General Public License v2.0,2009-08-24T00:53:39Z,2016-09-30T00:25:01Z,2016-11-02T19:32:53Z
fronteed,icheck,CSS,6281,152,2,11,135,2,1406,None,2013-02-25T21:09:25Z,2016-10-19T07:59:07Z,2016-11-03T18:12:13Z
onevcat,Kingfisher,Swift,6278,881,3,63,28,60,702,MIT License,2015-04-06T14:26:21Z,2016-10-19T01:50:54Z,2016-11-03T17:19:40Z
c3js,c3,JavaScript,6277,1,4,89,654,69,999,MIT License,2013-07-18T06:51:40Z,2016-11-03T17:08:46Z,2016-11-03T16:20:55Z
CRYTEK-CRYENGINE,CRYENGINE,C++,6268,879,3,20,18,6,922,Other,2016-05-23T12:24:55Z,2016-11-03T18:32:28Z,2016-11-03T09:31:58Z
JetBrains,kotlin,Java,6267,35,572,7219,21,6,675,None,2012-02-13T17:29:58Z,2016-11-03T18:56:59Z,2016-11-03T18:30:33Z
mxcl,PromiseKit,Swift,6267,837,8,80,10,107,551,MIT License,2014-04-04T13:54:37Z,2016-10-31T16:33:49Z,2016-11-03T19:54:37Z
mikepenz,MaterialDrawer,Java,6260,1,19,52,3,151,1316,Apache License 2.0,2015-01-31T17:37:10Z,2016-10-27T03:10:02Z,2016-11-03T12:42:57Z
WebAssembly,design,,6256,1,12,47,78,4,346,Apache License 2.0,2015-04-29T17:36:05Z,2016-11-03T16:15:01Z,2016-11-03T18:59:58Z
alibaba,dubbo,Java,6255,1,4,17,206,42,6316,Apache License 2.0,2012-06-19T07:56:02Z,2016-10-25T08:42:21Z,2016-11-03T15:41:49Z
akka,akka,Scala,6250,20,88,374,520,207,1992,None,2009-02-16T12:51:54Z,2016-11-03T15:17:37Z,2016-11-03T18:30:26Z
piwik,piwik,PHP,6249,23,41,151,1405,445,1098,None,2011-03-30T21:18:17Z,2016-11-03T14:32:36Z,2016-11-03T18:09:56Z
nodejitsu,node-http-proxy,JavaScript,6246,1,12,160,267,91,1060,MIT License,2010-07-24T18:30:12Z,2016-10-28T08:14:37Z,2016-11-03T06:18:36Z
elastic,kibana,JavaScript,6246,14,28,154,1254,59,2300,Other,2013-01-26T04:00:59Z,2016-11-03T19:56:08Z,2016-11-03T15:59:26Z
morrisjs,morris.js,CoffeeScript,6244,421,3,40,253,20,1067,None,2012-02-21T22:51:27Z,2016-10-11T19:11:58Z,2016-11-03T18:01:28Z
getpelican,pelican,HTML,6241,2,11,287,126,42,1308,GNU Affero General Public License v3.0,2010-10-16T18:57:40Z,2016-11-03T13:11:29Z,2016-11-03T12:14:18Z
CosmicMind,Material,Swift,6241,1,5,20,9,172,585,"BSD 3-clause ""New"" or ""Revised"" License",2015-08-22T16:21:53Z,2016-11-03T20:01:18Z,2016-11-03T19:22:47Z
CoderMJLee,MJExtension,Objective-C,6236,222,1,16,218,68,1897,MIT License,2014-05-23T15:54:00Z,2016-10-22T05:42:12Z,2016-11-03T08:18:00Z
sferik,rails_admin,Ruby,6219,4,7,335,304,36,1828,MIT License,2010-08-01T17:01:00Z,2016-11-03T00:19:10Z,2016-11-03T17:07:03Z
eslint,eslint,JavaScript,6212,5,41,438,244,134,1193,Other,2013-06-29T23:59:48Z,2016-11-03T20:13:22Z,2016-11-03T18:17:12Z
ipfs,ipfs,,6211,189,3,26,76,0,240,MIT License,2014-02-11T07:28:24Z,2016-10-31T20:26:02Z,2016-11-03T19:18:03Z
thedillonb,CodeHub,C#,6208,428,5,178600,79,27,267,None,2013-07-23T22:19:57Z,2016-10-05T03:54:10Z,2016-11-03T20:06:47Z
ducksboard,gridster.js,JavaScript,6173,255,4,22,374,17,1179,MIT License,2012-07-18T09:57:24Z,2016-08-24T01:22:47Z,2016-11-03T17:10:12Z
facebook,stetho,Java,6172,424,4,27,50,9,588,"BSD 3-clause ""New"" or ""Revised"" License",2015-01-22T22:34:10Z,2016-11-01T22:24:10Z,2016-11-03T12:59:41Z
babun,babun,Shell,6171,974,4,43,296,5,370,None,2013-08-28T13:21:50Z,2016-08-26T10:44:41Z,2016-11-03T19:56:43Z
mxgmn,WaveFunctionCollapse,C#,6170,42,1,7,3,0,227,Other,2016-09-30T11:53:17Z,2016-10-29T20:07:31Z,2016-11-03T14:52:25Z
laravel,framework,PHP,6162,15,8,1,70,222,3678,MIT License,2013-01-10T21:27:28Z,2016-11-03T19:43:17Z,2016-11-03T15:48:34Z
jigish,slate,Objective-C,6161,565,1,18,255,0,414,GNU General Public License v3.0,2011-05-23T08:56:15Z,2016-10-19T10:04:44Z,2016-11-03T08:07:50Z
HubSpot,tether,JavaScript,6154,544,7,36,66,63,443,MIT License,2013-10-15T17:47:11Z,2016-10-31T14:54:48Z,2016-11-03T14:47:40Z
guarinogabriel,Mac-CLI,Shell,6139,340,2,16,7,1,221,MIT License,2015-12-07T02:40:42Z,2016-10-27T19:32:07Z,2016-11-03T15:32:07Z
seajs,seajs,JavaScript,6132,2,4,16,127,25,2550,MIT License,2010-12-29T15:02:37Z,2016-02-14T15:17:36Z,2016-11-03T10:26:05Z
EnterpriseQualityCoding,FizzBuzzEnterpriseEdition,Java,6129,149,2,30,163,0,336,None,2012-11-24T00:14:41Z,2016-10-20T15:19:08Z,2016-11-03T12:58:18Z
hashicorp,terraform,Go,6129,14,112,716,1692,48,2101,Mozilla Public License 2.0,2014-03-13T22:25:48Z,2016-11-03T20:09:21Z,2016-11-03T19:56:50Z
jverkoey,nimbus,Objective-C,6128,2,9,81,92,35,1375,Apache License 2.0,2011-06-09T15:01:53Z,2016-11-03T03:19:54Z,2016-11-03T10:09:49Z
davatron5000,FitText.js,HTML,6125,59,4,15,23,1,1296,None,2011-05-05T15:17:25Z,2016-10-21T11:01:49Z,2016-11-02T18:21:50Z
ryanb,cancan,Ruby,6124,419,2,58,263,29,838,MIT License,2009-11-17T01:04:45Z,2016-08-09T13:02:09Z,2016-11-03T08:18:40Z
facebook,xctool,Objective-C,6103,1,1,72,12,28,684,Apache License 2.0,2013-04-24T05:18:44Z,2016-10-27T20:53:37Z,2016-11-03T15:47:10Z
casperjs,casperjs,JavaScript,6102,2,5,162,277,56,957,MIT License,2011-09-05T14:01:40Z,2016-11-03T16:23:04Z,2016-11-03T15:26:09Z
nicolargo,glances,JavaScript,6097,2,5,65,49,50,447,GNU Lesser General Public License v3.0,2011-12-04T08:49:15Z,2016-11-02T09:23:28Z,2016-11-03T16:21:34Z
winterbe,java8-tutorial,Java,6095,140,1,8,5,0,964,MIT License,2014-03-16T17:25:43Z,2016-10-21T09:19:41Z,2016-11-03T14:29:55Z
daimajia,AndroidViewAnimations,Java,6094,113,3,12,42,11,1561,MIT License,2014-06-23T03:53:13Z,2016-08-15T10:26:49Z,2016-11-03T10:30:41Z
dangrossman,bootstrap-daterangepicker,JavaScript,6091,691,2,104,23,53,1977,None,2012-08-20T01:53:06Z,2016-10-25T16:20:01Z,2016-11-03T19:05:02Z
fullcalendar,fullcalendar,JavaScript,6090,1,5,43,289,71,2016,MIT License,2009-11-22T23:16:51Z,2016-11-02T05:32:54Z,2016-11-03T16:18:39Z
facebook,jest,JavaScript,6081,1,6,258,72,85,762,"BSD 3-clause ""New"" or ""Revised"" License",2013-12-10T00:18:04Z,2016-11-02T20:05:16Z,2016-11-03T19:55:46Z
amatsuda,kaminari,Ruby,6077,1,6,110,27,45,808,MIT License,2011-02-06T08:07:20Z,2016-10-24T18:35:58Z,2016-11-03T16:28:36Z
facebook,SocketRocket,Objective-C,6071,494,5,68,51,10,1223,"BSD 3-clause ""New"" or ""Revised"" License",2012-01-30T00:21:34Z,2016-11-03T15:35:31Z,2016-11-03T15:13:10Z
rupa,z,Shell,6071,187,7,16,39,10,511,None,2009-06-25T22:31:23Z,2016-09-30T13:59:15Z,2016-11-03T20:09:18Z
gaearon,redux-devtools,JavaScript,6069,391,1,55,19,28,424,MIT License,2015-07-05T10:58:49Z,2016-10-27T13:09:37Z,2016-11-03T20:01:17Z
SignalR,SignalR,C#,6061,4,96,71,450,37,1857,Other,2011-07-22T03:52:19Z,2016-10-24T17:11:38Z,2016-11-03T12:09:46Z
thejameskyle,the-super-tiny-compiler,JavaScript,6061,1,1,16,5,0,388,Creative Commons Attribution 4.0,2016-03-11T04:19:18Z,2016-10-23T18:36:55Z,2016-11-03T20:01:23Z
mgcrea,angular-strap,JavaScript,6055,1,3,119,490,58,1529,MIT License,2012-09-07T15:50:43Z,2016-10-17T22:05:09Z,2016-11-03T13:49:29Z
briangonzalez,jquery.adaptive-backgrounds.js,JavaScript,6053,80,4,10,18,3,440,None,2013-11-16T20:32:05Z,2016-10-26T01:24:42Z,2016-11-02T08:46:34Z
p-e-w,maybe,Python,6048,75,1,2,12,5,162,None,2016-01-24T18:29:30Z,2016-09-02T01:40:01Z,2016-11-02T16:25:53Z
dropbox,zxcvbn,CoffeeScript,6046,356,2,27,37,29,402,MIT License,2012-02-28T03:25:54Z,2016-10-31T22:00:13Z,2016-11-03T17:29:20Z
connors,photon,CSS,6041,256,3,12,69,3,294,MIT License,2015-09-28T04:03:26Z,2016-09-26T18:24:07Z,2016-11-03T20:17:27Z
twitter,twemproxy,C,6034,488,9,52,150,13,1236,Apache License 2.0,2012-02-22T16:53:58Z,2016-10-31T06:31:19Z,2016-11-03T15:25:55Z
chrisbanes,cheesesquare,Java,6033,15,1,1,15,1,1540,Apache License 2.0,2015-05-28T22:54:34Z,2016-10-30T12:14:48Z,2016-11-03T18:51:44Z
h2o,h2o,C,6030,3,450,62,262,57,465,MIT License,2014-08-16T23:59:03Z,2016-10-31T08:14:54Z,2016-11-03T06:52:21Z
zurb,foundation-emails,HTML,6024,844,16,71,117,16,599,MIT License,2013-09-18T20:13:27Z,2016-11-02T14:44:06Z,2016-11-03T20:18:22Z
arduino,Arduino,HTML,6022,6,3,190,801,70,4878,GNU Lesser General Public License v2.1,2010-09-17T19:10:36Z,2016-11-03T19:40:47Z,2016-11-03T17:32:00Z
tuupola,jquery_lazyload,HTML,6017,304,3,23,125,19,1698,MIT License,2008-11-05T16:55:49Z,2016-10-03T13:53:36Z,2016-11-03T15:30:54Z
mdo,code-guide,HTML,6017,156,1,37,33,3,916,MIT License,2012-09-20T22:53:37Z,2016-09-10T01:12:31Z,2016-11-03T14:50:35Z
git-up,GitUp,Objective-C,6002,234,1,25,90,25,322,GNU General Public License v3.0,2015-08-13T04:11:10Z,2016-10-19T14:06:43Z,2016-11-03T15:39:01Z
omniauth,omniauth,Ruby,6000,1,3,140,110,44,780,MIT License,2010-03-30T20:34:32Z,2016-09-16T15:51:13Z,2016-11-03T06:59:54Z
angular-app,angular-app,JavaScript,5991,393,6,22,46,1,1951,MIT License,2012-09-04T18:47:38Z,2016-10-31T11:22:10Z,2016-11-03T08:09:30Z
angular,protractor,JavaScript,5991,1,7,208,161,78,1415,MIT License,2013-01-16T04:30:53Z,2016-11-03T17:29:09Z,2016-11-03T14:15:36Z
facebook,infer,OCaml,5989,1,2,35,83,14,776,"BSD 3-clause ""New"" or ""Revised"" License",2015-01-26T11:19:13Z,2016-11-03T19:17:58Z,2016-11-03T14:17:56Z
sbstjn,timesheet.js,JavaScript,5986,46,4,5,18,0,452,MIT License,2014-05-25T22:07:12Z,2016-10-09T17:34:57Z,2016-11-02T06:56:49Z
Mango,slideout,JavaScript,5986,140,2,14,47,13,974,MIT License,2015-02-02T01:05:43Z,2016-10-13T23:49:47Z,2016-11-03T19:51:32Z
gitbucket,gitbucket,Scala,5984,3,14,97,216,53,751,Apache License 2.0,2013-04-10T16:41:35Z,2016-11-03T17:29:55Z,2016-11-03T14:48:02Z
huluoyang,freecodecamp.cn,JavaScript,5968,8,2,313,1,0,334,None,2016-03-30T02:31:33Z,2016-09-29T09:26:28Z,2016-11-03T01:43:12Z
apple,swift-evolution,XSLT,5967,1,1,149,17,0,897,Apache License 2.0,2015-11-03T21:49:37Z,2016-10-31T21:19:18Z,2016-11-03T17:34:50Z
johnezang,JSONKit,Objective-C,5965,69,3,4,103,3,1763,None,2010-07-27T10:06:21Z,2016-04-13T18:48:02Z,2016-11-03T20:04:38Z
charliesome,better_errors,Ruby,5960,439,2,60,55,26,373,MIT License,2012-12-08T11:02:18Z,2016-10-28T04:29:49Z,2016-11-03T16:17:24Z
DrKLO,Telegram,C,5958,299,2,12,329,0,2768,GNU General Public License v2.0,2013-10-25T14:08:10Z,2016-10-25T10:43:59Z,2016-11-03T12:51:59Z
jakiestfu,Snap.js,JavaScript,5953,107,5,1,159,2,740,None,2013-04-01T23:57:34Z,2016-10-31T06:17:11Z,2016-11-03T03:15:52Z
PureLayout,PureLayout,Objective-C,5949,187,1,13,34,13,652,MIT License,2014-06-23T00:13:14Z,2016-09-24T14:42:34Z,2016-11-03T18:37:20Z
ramda,ramda,JavaScript,5948,2,1,133,176,42,396,MIT License,2013-06-21T20:32:35Z,2016-11-02T18:13:01Z,2016-11-03T20:21:02Z
shadowsocks,shadowsocks-windows,C#,5942,903,6,38,14,18,4033,Other,2013-01-14T07:54:16Z,2016-10-31T05:12:03Z,2016-11-03T15:38:01Z
nlp-compromise,nlp_compromise,JavaScript,5941,1,7,43,56,16,296,MIT License,2011-07-05T09:04:38Z,2016-11-03T19:33:56Z,2016-11-03T17:15:31Z
zeroclipboard,zeroclipboard,JavaScript,5938,646,2,45,89,46,1050,MIT License,2012-04-13T03:59:44Z,2016-07-10T03:53:47Z,2016-11-03T11:55:47Z
braziljs,js-the-right-way,HTML,5935,672,3,120,17,0,767,Other,2012-08-07T23:39:05Z,2016-10-28T10:59:37Z,2016-11-03T17:15:03Z
greenrobot,greenDAO,Java,5932,811,2,6,146,17,1984,None,2011-10-22T16:15:14Z,2016-10-31T10:49:39Z,2016-11-03T11:38:50Z
mitmproxy,mitmproxy,JavaScript,5927,5,6,153,68,34,849,MIT License,2010-02-16T04:10:13Z,2016-11-03T20:18:23Z,2016-11-03T17:59:54Z
shekhargulati,52-technologies-in-2016,JavaScript,5912,143,1,14,44,0,340,MIT License,2016-01-03T17:06:03Z,2016-10-19T15:47:09Z,2016-11-03T17:51:03Z
thebird,Swipe,JavaScript,5910,250,3,31,248,2,1738,MIT License,2011-04-28T17:57:25Z,2016-10-24T17:27:14Z,2016-11-03T11:58:15Z
thoughtbot,guides,Ruby,5905,330,20,81,15,0,933,None,2012-07-27T03:15:44Z,2016-11-01T14:18:39Z,2016-11-03T03:46:43Z
google,agera,Java,5904,101,2,9,3,6,522,Apache License 2.0,2015-12-17T13:22:58Z,2016-10-18T12:42:03Z,2016-11-03T19:30:49Z
vladikoff,chromeos-apk,JavaScript,5902,127,1,9,142,6,623,MIT License,2014-09-16T22:28:22Z,2015-12-22T14:22:14Z,2016-11-03T06:27:23Z
BlackrockDigital,startbootstrap,HTML,5900,445,2,17,4,2,2867,Other,2013-08-10T00:05:36Z,2016-10-19T05:01:13Z,2016-11-03T14:36:35Z
tonymillion,Reachability,Objective-C,5891,86,2,16,54,4,1129,"BSD 2-clause ""Simplified"" License",2011-11-12T00:45:36Z,2016-10-05T20:31:12Z,2016-11-03T18:35:32Z
michaelvillar,dynamics.js,CoffeeScript,5890,85,2,5,4,12,329,None,2014-02-03T00:17:07Z,2016-08-27T03:59:09Z,2016-11-03T16:46:16Z
mleibman,SlickGrid,JavaScript,5878,677,4,48,430,13,1968,MIT License,2009-12-17T18:27:47Z,2016-10-31T11:06:16Z,2016-11-03T07:36:55Z
shutterstock,rickshaw,JavaScript,5875,423,3,16,195,26,928,MIT License,2011-10-20T22:02:37Z,2016-09-10T21:59:46Z,2016-11-03T17:47:40Z
thoughtbot,laptop,Shell,5873,311,14,57,12,0,1359,MIT License,2011-05-01T18:18:44Z,2016-10-27T19:39:29Z,2016-11-03T08:49:26Z
deis,deis,Python,5867,5,1,164,52,67,881,Other,2013-07-22T19:02:40Z,2016-11-03T18:38:56Z,2016-11-03T12:11:02Z
raywenderlich,swift-style-guide,,5864,155,2,26,16,0,928,None,2014-06-10T00:52:42Z,2016-10-24T23:50:14Z,2016-11-03T19:10:52Z
restify,node-restify,JavaScript,5860,1,41,5,137,94,669,MIT License,2011-04-25T21:19:26Z,2016-11-03T00:44:56Z,2016-11-03T13:08:06Z
IFTTT,JazzHands,Objective-C,5860,202,3,27,12,16,664,MIT License,2013-09-29T22:03:15Z,2016-05-11T17:04:30Z,2016-11-03T17:06:08Z
jverdi,JVFloatLabeledTextField,Objective-C,5853,236,1,41,7,16,577,MIT License,2013-10-01T04:31:03Z,2016-08-17T20:31:27Z,2016-11-03T10:50:48Z
mitchellh,packer,Go,5841,6,14,494,550,45,1429,Mozilla Public License 2.0,2013-03-23T05:43:03Z,2016-11-03T18:49:57Z,2016-11-03T18:51:27Z
nosir,cleave.js,JavaScript,5836,163,2,13,12,21,255,Apache License 2.0,2016-05-18T12:45:03Z,2016-11-02T18:35:18Z,2016-11-03T20:19:05Z
jlund,streisand,HTML,5829,782,1,36,115,0,446,GNU General Public License v3.0,2014-03-23T21:56:19Z,2016-10-30T22:43:55Z,2016-11-03T17:32:51Z
greatfire,wiki,,5828,60,1,3,62,0,1656,None,2013-12-11T06:59:50Z,2016-09-27T08:12:04Z,2016-11-03T15:00:28Z
libgit2,libgit2,C,5814,9,138,282,191,41,1436,GNU Lesser General Public License v2.1,2010-09-10T16:17:48Z,2016-11-03T11:03:17Z,2016-11-03T05:01:03Z
ether,etherpad-lite,JavaScript,5800,4,162,165,262,35,1307,Apache License 2.0,2011-03-26T13:09:02Z,2016-11-01T06:58:59Z,2016-11-03T14:41:27Z
tmuxinator,tmuxinator,Ruby,5798,611,4,98,54,29,376,MIT License,2010-12-10T21:49:50Z,2016-10-21T10:37:45Z,2016-11-03T18:04:43Z
mailchimp,email-blueprints,,5796,32,1,2,29,0,2468,None,2010-10-12T12:28:30Z,2015-09-04T13:40:15Z,2016-11-02T07:19:29Z
hangtwenty,dive-into-machine-learning,,5795,139,3,18,0,0,784,Other,2015-02-22T23:48:16Z,2016-10-19T15:33:52Z,2016-11-03T14:13:05Z
attic-labs,noms,Go,5795,3,9,27,236,0,167,Other,2015-06-03T03:44:49Z,2016-11-03T18:43:57Z,2016-11-03T18:06:53Z
mobile-shell,mosh,C++,5791,1,5,49,178,14,391,GNU General Public License v3.0,2011-01-09T09:41:02Z,2016-10-30T07:09:44Z,2016-11-03T12:51:45Z
mutualmobile,MMDrawerController,Objective-C,5790,295,14,16,148,16,1304,MIT License,2013-05-07T14:47:41Z,2016-07-27T08:21:53Z,2016-11-03T14:52:34Z
clojure,clojure,Java,5790,3,22,125,5,107,996,None,2010-06-29T20:03:33Z,2016-11-02T23:04:00Z,2016-11-03T07:48:19Z
desandro,imagesloaded,JavaScript,5783,234,6,20,24,34,1019,None,2011-08-25T17:28:58Z,2016-10-27T00:16:55Z,2016-11-03T17:44:30Z
zwaldowski,BlocksKit,Objective-C,5781,1,3,16,66,23,952,MIT License,2011-05-17T18:06:36Z,2016-10-05T13:36:15Z,2016-11-03T18:17:43Z
pokeb,asi-http-request,Objective-C,5776,822,4,50,164,64,1537,Other,2008-07-14T21:43:50Z,2015-11-16T10:18:32Z,2016-11-03T16:16:10Z
philc,vimium,CoffeeScript,5765,3,9,99,166,1,810,MIT License,2009-09-20T07:08:19Z,2016-10-24T03:51:46Z,2016-11-03T17:40:52Z
labstack,echo,Go,5739,854,3,54,70,35,445,MIT License,2015-03-01T17:43:01Z,2016-11-03T17:42:20Z,2016-11-03T15:58:46Z
eliangcs,http-prompt,Python,5735,215,2,10,17,11,183,MIT License,2016-04-06T07:24:35Z,2016-10-22T03:28:58Z,2016-11-02T08:17:10Z
torch,torch7,C,5735,1,17,107,97,0,1670,"BSD 3-clause ""New"" or ""Revised"" License",2013-10-18T12:13:58Z,2016-11-02T22:53:46Z,2016-11-03T19:45:17Z
jsonmodel,jsonmodel,Objective-C,5734,719,4,51,8,28,999,MIT License,2012-12-02T17:19:21Z,2016-10-29T07:55:17Z,2016-11-03T14:54:45Z
junegunn,vim-plug,VimL,5733,561,4,25,23,27,227,None,2013-09-10T14:58:51Z,2016-11-03T15:38:09Z,2016-11-03T16:30:19Z
omcljs,om,Clojure,5730,1,2,13,43,97,341,None,2013-12-11T18:18:11Z,2016-11-03T17:38:26Z,2016-11-03T17:14:43Z
